Date,Prefecture,Confirmed cases(Cumulative)
2020/5/9,ALL,15581
2020/5/9,Hokkaido,934
2020/5/9,Aomori,27
2020/5/9,Iwate,0
2020/5/9,Miyagi,88
2020/5/9,Akita,16
2020/5/9,Yamagata,69
2020/5/9,Fukushima,81
2020/5/9,Ibaraki,168
2020/5/9,Tochigi,54
2020/5/9,Gunma,147
2020/5/9,Saitama,962
2020/5/9,Chiba,879
2020/5/9,Tokyo,4846
2020/5/9,Kanagawa,1158
2020/5/9,Niigata,82
2020/5/9,Toyama,216
2020/5/9,Ishikawa,277
2020/5/9,Fukui,122
2020/5/9,Yamanashi,56
2020/5/9,Nagano,74
2020/5/9,Gifu,150
2020/5/9,Shizuoka,73
2020/5/9,Aichi,491
2020/5/9,Mie,45
2020/5/9,Shiga,97
2020/5/9,Kyoto,347
2020/5/9,Osaka,1732
2020/5/9,Hyogo,688
2020/5/9,Nara,90
2020/5/9,Wakayama,62
2020/5/9,Tottori,3
2020/5/9,Shimane,24
2020/5/9,Okayama,24
2020/5/9,Hiroshima,165
2020/5/9,Yamaguchi,37
2020/5/9,Tokushima,5
2020/5/9,Kagawa,28
2020/5/9,Ehime,48
2020/5/9,Kochi,74
2020/5/9,Fukuoka,653
2020/5/9,Saga,45
2020/5/9,Nagasaki,17
2020/5/9,Kumamoto,48
2020/5/9,Oita,60
2020/5/9,Miyazaki,17
2020/5/9,Kagoshima,11
2020/5/9,Okinawa,142
2020/5/10,ALL,15630
2020/5/10,Hokkaido,945
2020/5/10,Aomori,27
2020/5/10,Iwate,0
2020/5/10,Miyagi,88
2020/5/10,Akita,16
2020/5/10,Yamagata,69
2020/5/10,Fukushima,81
2020/5/10,Ibaraki,168
2020/5/10,Tochigi,56
2020/5/10,Gunma,147
2020/5/10,Saitama,967
2020/5/10,Chiba,880
2020/5/10,Tokyo,4868
2020/5/10,Kanagawa,1150
2020/5/10,Niigata,82
2020/5/10,Toyama,216
2020/5/10,Ishikawa,278
2020/5/10,Fukui,122
2020/5/10,Yamanashi,56
2020/5/10,Nagano,74
2020/5/10,Gifu,150
2020/5/10,Shizuoka,73
2020/5/10,Aichi,494
2020/5/10,Mie,45
2020/5/10,Shiga,97
2020/5/10,Kyoto,347
2020/5/10,Osaka,1743
2020/5/10,Hyogo,688
2020/5/10,Nara,90
2020/5/10,Wakayama,62
2020/5/10,Tottori,3
2020/5/10,Shimane,24
2020/5/10,Okayama,24
2020/5/10,Hiroshima,165
2020/5/10,Yamaguchi,37
2020/5/10,Tokushima,5
2020/5/10,Kagawa,28
2020/5/10,Ehime,48
2020/5/10,Kochi,74
2020/5/10,Fukuoka,654
2020/5/10,Saga,45
2020/5/10,Nagasaki,17
2020/5/10,Kumamoto,48
2020/5/10,Oita,60
2020/5/10,Miyazaki,17
2020/5/10,Kagoshima,11
2020/5/10,Okinawa,142
2020/5/11,ALL,15706
2020/5/11,Hokkaido,954
2020/5/11,Aomori,27
2020/5/11,Iwate,0
2020/5/11,Miyagi,88
2020/5/11,Akita,16
2020/5/11,Yamagata,69
2020/5/11,Fukushima,81
2020/5/11,Ibaraki,168
2020/5/11,Tochigi,56
2020/5/11,Gunma,147
2020/5/11,Saitama,969
2020/5/11,Chiba,883
2020/5/11,Tokyo,4883
2020/5/11,Kanagawa,1178
2020/5/11,Niigata,82
2020/5/11,Toyama,221
2020/5/11,Ishikawa,280
2020/5/11,Fukui,122
2020/5/11,Yamanashi,56
2020/5/11,Nagano,75
2020/5/11,Gifu,150
2020/5/11,Shizuoka,73
2020/5/11,Aichi,494
2020/5/11,Mie,45
2020/5/11,Shiga,97
2020/5/11,Kyoto,352
2020/5/11,Osaka,1744
2020/5/11,Hyogo,693
2020/5/11,Nara,90
2020/5/11,Wakayama,62
2020/5/11,Tottori,3
2020/5/11,Shimane,24
2020/5/11,Okayama,24
