,,,/男女別_2015,総数（男女別）,総数（男女別）,総数（男女別）,総数（男女別）,総数（男女別）,総数（男女別）,総数（男女別）,総数（男女別）,総数（男女別）,総数（男女別）,総数（男女別）,男,男,男,男,男,男,男,男,男,男,男,女,女,女,女,女,女,女,女,女,女,女
表章項目,時間軸(年次),地域（2015）,/従業上の地位_2015,総数（従業上の地位）,雇用者,雇用者　正規の職員・従業員,雇用者　労働者派遣事業所の派遣社員,雇用者　パート・アルバイト・その他,役員,雇人のある業主,雇人のない業主,家族従業者,家庭内職者,従業上の地位「不詳」,総数（従業上の地位）,雇用者,雇用者　正規の職員・従業員,雇用者　労働者派遣事業所の派遣社員,雇用者　パート・アルバイト・その他,役員,雇人のある業主,雇人のない業主,家族従業者,家庭内職者,従業上の地位「不詳」,総数（従業上の地位）,雇用者,雇用者　正規の職員・従業員,雇用者　労働者派遣事業所の派遣社員,雇用者　パート・アルバイト・その他,役員,雇人のある業主,雇人のない業主,家族従業者,家庭内職者,従業上の地位「不詳」
15歳以上就業者数【人】,2015年,全国,,58919036,46605130,30333371,1543683,14728076,2883844,1154651,3942215,1947053,99608,2286535,33077703,25161767,20585204,660120,3916443,2179507,952268,2982708,412763,11651,1377039,25841333,21443363,9748167,883563,10811633,704337,202383,959507,1534290,87957,909496
15歳以上就業者数【人】,2015年,北海道,,2435098,1908362,1197435,49509,661418,123311,49460,145161,97755,1552,109497,1348044,1014703,820605,20407,173691,94901,40999,108406,23683,149,65203,1087054,893659,376830,29102,487727,28410,8461,36755,74072,1403,44294
15歳以上就業者数【人】,2015年,青森,,625970,471986,320839,9464,141683,23800,16966,53327,44643,904,14344,339392,248547,208750,4234,35563,17216,14051,40342,10943,54,8239,286578,223439,112089,5230,106120,6584,2915,12985,33700,850,6105
15歳以上就業者数【人】,2015年,岩手,,636329,499851,341077,11300,147474,24520,12773,55426,37579,912,5268,354010,271530,226209,5536,39785,18242,10499,42442,8025,78,3194,282319,228321,114868,5764,107689,6278,2274,12984,29554,834,2074
15歳以上就業者数【人】,2015年,宮城,,1077927,888345,596625,28277,263443,51293,20324,67742,36106,995,13122,615661,491344,408300,11813,71231,38207,16832,52564,8520,92,8102,462266,397001,188325,16464,192212,13086,3492,15178,27586,903,5020
15歳以上就業者数【人】,2015年,秋田,,482867,375154,257803,6702,110649,19289,10782,45633,26216,929,4864,265162,197370,164549,3258,29563,14544,8936,35818,5616,83,2795,217705,177784,93254,3444,81086,4745,1846,9815,20600,846,2069
15歳以上就業者数【人】,2015年,山形,,562087,428713,302305,12008,114400,26342,12260,51987,34620,1198,6967,308587,224951,188445,5597,30909,19482,10182,41454,8402,125,3991,253500,203762,113860,6411,83491,6860,2078,10533,26218,1073,2976
15歳以上就業者数【人】,2015年,福島,,922133,718142,498858,24865,194419,46316,17536,69928,43398,1643,25170,528744,400775,335253,12890,52632,34023,14512,54575,9468,173,15218,393389,317367,163605,11975,141787,12293,3024,15353,33930,1470,9952
15歳以上就業者数【人】,2015年,茨城,,1400684,1112105,724881,38230,348994,58146,28989,96854,62949,2020,39621,809664,624950,514921,19206,90823,43570,24828,76612,14916,252,24536,591020,487155,209960,19024,258171,14576,4161,20242,48033,1768,15085
