prefec_kanji2,prefecture,id,quarter_number,year_quarter,year,quarterly,region_name,region_id,pop_over15,yoy_labor_force_rate2019,yoy_employment_rate2019,yoy_unemployment_rate2019,yoy_diff1_labor_force_rate2019,yoy_diff1_employment_rate2019,yoy_diff1_unemployment_rate2019,yoy_diff2_labor_force_rate2019,yoy_diff2_employment_rate2019,yoy_diff2_unemployment_rate2019
北海道,Hokkaido,1,237,2019q2,2019,q2,北海道,1,4688,-0.6499794700447339,-0.6379267207324943,-0.024231365632605417,-1.4247374728837556,-1.5529492080114906,0.22820707222398706,-2.710235956376188,-2.6689679682083707,0.06560036029507632
青森県,Aomori-ken,2,237,2019q2,2019,q2,東北,2,1115,0.7946124733645092,0.8656934770855287,-0.15027715400832076,0.10261590303462498,-0.07313541182261218,0.3246027769182347,0.07623076711999488,-0.10059206967495271,0.15155557610309822
岩手県,Iwate-ken,3,237,2019q2,2019,q2,東北,2,1092,1.0329204975302986,0.9305425367131335,-0.014513065905906064,-0.1029336225680737,-0.011950160719933933,-0.3029191868906269,-0.6595271821785289,-0.6618961257892266,-0.13543044346045185
宮城県,Miyagi-ken,4,237,2019q2,2019,q2,東北,2,2035,0.8078826519238476,1.001261638829078,-0.26799544011573495,-0.8026894119532528,-0.606783641138577,-0.19993132811346204,-0.5359325310584211,-0.3395768371257333,-0.217464902066566
秋田県,Akita-ken,5,237,2019q2,2019,q2,東北,2,874,0.5661420210650192,0.5459964564468365,0.009918250725748479,-0.6373081081868577,-0.5189878029783159,-0.16698259697642248,-0.024366672147245083,-0.13973509634598713,0.20359744539897884
山形県,Yamagata-ken,6,237,2019q2,2019,q2,東北,2,956,1.727187981008953,1.7174323064582566,-0.030917809220252668,-1.0985344132118868,-1.305013513975183,0.22661892763779923,-1.5179608357155558,-1.6229951843296888,0.20942693621636366
福島県,Fukushima-ken,7,237,2019q2,2019,q2,東北,2,1637,0.48803243183206035,0.6602247274208182,-0.19723865877712,-0.13525012096381772,-0.012117238015470377,-0.08994071553142025,-0.14585182939266872,-0.02314056851383839,-0.09324664280905592
茨城県,Ibaraki-ken,8,237,2019q2,2019,q2,北関東・甲信,4,2518,0.7267515783591278,0.48187437799622046,0.30598000377287304,0.05510991576475277,-0.06569751448164851,0.12411025140462728,0.0931529769555084,-0.14642083777280135,0.3860782576309387
栃木県,Tochigi-ken,9,237,2019q2,2019,q2,北関東・甲信,4,1699,0.6098684351252857,0.3688812190054591,0.3620373002260755,0.04372088038186206,-0.07562957832072925,0.18105190435532692,0.16074760064217486,-0.1345715131005747,0.3693631666700359
群馬県,Gumma-ken,10,237,2019q2,2019,q2,北関東・甲信,4,1711,0.8435215114684098,0.5487047453196823,0.5479999818242127,-0.13572399492245069,-0.19499113848128502,0.1883462441992667,-0.19389062617893416,-0.42815830989741954,0.5824217154074776
埼玉県,Saitama-ken,11,237,2019q2,2019,q2,南関東,3,6459,0.678918128633839,0.7792832261492961,-0.18719061061920206,-0.3852938889960029,-0.4166748990506335,0.0692779440674105,-0.6447994951150093,-0.7684877226345392,0.22114314663415158
千葉県,Chiba-ken,12,237,2019q2,2019,q2,南関東,3,5516,0.41587507743486185,0.5099466478631101,-0.16633303585200476,0.02406376128582366,0.0048534447432544425,0.03178427267627182,-0.0233721328732841,-0.1514497927772993,0.18126054703569583
東京都,Tokyo-to,13,237,2019q2,2019,q2,南関東,3,12348,0.7598146890850188,1.0725490457109146,-0.48271097321371004,0.04692676818656594,0.13439229330957403,-0.13045442722154865,-0.25229852245813333,-0.27915413669930444,0.07397956897237101
