統計表１　生活保護の被保護世帯数及び実人員,...2,...3,...4,...5,...6,...7,...8,...9,...10,...11,year_month
全国,NA,NA,1641087,1632629,8458,2127205,2115400,11805,17448,15801,2017-07-01
NA,北海道,NA,49488,49407,81,65582,65478,104,412,479,2017-07-01
NA,青森,NA,13633,13614,19,16765,16741,24,100,98,2017-07-01
NA,岩手,NA,6699,6655,44,8559,8501,58,82,60,2017-07-01
NA,宮城,NA,7951,7913,38,10596,10549,47,115,75,2017-07-01
NA,秋田,NA,7284,7260,24,9386,9349,37,67,59,2017-07-01
NA,山形,NA,6200,6136,64,7648,7553,95,53,49,2017-07-01
NA,福島,NA,7691,7623,68,9505,9436,69,85,76,2017-07-01
NA,茨城,NA,21531,21419,112,27429,27279,150,268,193,2017-07-01
NA,栃木,NA,10029,9983,46,12596,12518,78,116,107,2017-07-01
NA,群馬,NA,6284,6253,31,7755,7711,44,49,55,2017-07-01
NA,埼玉,NA,51993,51829,164,68916,68686,230,565,434,2017-07-01
NA,千葉,NA,39165,38976,189,50865,50592,273,517,378,2017-07-01
NA,東京,NA,225399,224330,1069,282033,280498,1535,2471,2157,2017-07-01
NA,神奈川,NA,26478,26361,117,34861,34695,166,331,273,2017-07-01
NA,新潟,NA,7083,7029,54,8994,8919,75,86,90,2017-07-01
NA,富山,NA,1477,1458,19,1710,1684,26,17,16,2017-07-01
NA,石川,NA,2695,2661,34,3127,3089,38,21,32,2017-07-01
NA,福井,NA,3404,3351,53,4195,4118,77,48,36,2017-07-01
NA,山梨,NA,5659,5576,83,7030,6930,100,70,46,2017-07-01
NA,長野,NA,6449,6393,56,7959,7882,77,64,84,2017-07-01
NA,岐阜,NA,4392,4331,61,5419,5352,67,47,48,2017-07-01
NA,静岡,NA,11888,11805,83,14780,14662,118,178,113,2017-07-01
NA,愛知,NA,17840,17719,121,23295,23091,204,213,191,2017-07-01
NA,三重,NA,12769,12675,94,16401,16281,120,112,153,2017-07-01
NA,滋賀,NA,5177,5134,43,7257,7193,64,61,59,2017-07-01
NA,京都,NA,10343,10266,77,14791,14677,114,113,113,2017-07-01
NA,大阪,NA,56572,56355,217,77448,77122,326,535,546,2017-07-01
NA,兵庫,NA,17720,17595,125,23835,23648,187,189,161,2017-07-01
NA,奈良,NA,9592,9527,65,12957,12853,104,92,65,2017-07-01
NA,和歌山,NA,4973,4942,31,6111,6076,35,46,33,2017-07-01
NA,鳥取,NA,5569,5521,48,7336,7266,70,53,56,2017-07-01
NA,島根,NA,4656,4641,15,5945,5927,18,48,58,2017-07-01
NA,岡山,NA,3958,3940,18,5047,5027,20,41,46,2017-07-01
NA,広島,NA,5946,5887,59,8017,7929,88,71,68,2017-07-01
NA,山口,NA,8979,8931,48,11276,11215,61,87,78,2017-07-01
