month,retail_and_recreation,grocery_and_pharmacy,parks,transit_stations,workplaces,residential,prefec,year,google_mobility_index_4vari_average,mobility_index_6vari_average,Date,confirmed_cases_cumulative,day,deaths_cumulative,prefec_kanji,id
6,-10.366666666666667,-0.03333333333333333,-4.8,-25.9,-11.8,6.6,Aichi,2020,-12.024999999999999,-7.716666666666665,2020-06-30,524,30,34,愛知,23
6,2.8666666666666667,5.133333333333334,56.5,-12.8,-5.433333333333334,2.3,Akita,2020,-2.5583333333333336,8.094444444444443,2020-06-30,16,30,0,秋田,5
6,-1,3.6666666666666665,28.933333333333334,-16.533333333333335,-5.633333333333334,2.066666666666667,Aomori,2020,-4.875000000000001,1.916666666666666,2020-06-30,27,30,1,青森,2
6,-15.233333333333333,0.2,0.1,-28.633333333333333,-15.233333333333333,8.866666666666667,Chiba,2020,-14.725,-8.322222222222221,2020-06-30,960,30,45,千葉,12
6,-7.533333333333333,0.6,0.5333333333333333,-23.333333333333332,-6.666666666666667,4.6,Ehime,2020,-9.233333333333333,-5.3,2020-06-30,82,30,4,愛媛,38
6,-7.333333333333333,3.066666666666667,19.066666666666666,-12.4,-9.266666666666667,4.8,Fukui,2020,-6.4833333333333325,-0.34444444444444394,2020-06-30,122,30,8,福井,18
6,-14.666666666666666,-0.9,-2.7333333333333334,-32.3,-11.633333333333333,6.566666666666666,Fukuoka,2020,-14.874999999999998,-9.277777777777777,2020-06-30,846,30,33,福岡,40
6,-5.133333333333334,1.7333333333333334,10.666666666666666,-19.066666666666666,-7.633333333333334,4.366666666666666,Fukushima,2020,-7.525,-2.5111111111111115,2020-06-30,82,30,0,福島,7
6,-8.366666666666667,1.1,-14.633333333333333,-19.6,-10.466666666666667,6.033333333333333,Gifu,2020,-9.333333333333334,-7.655555555555556,2020-06-30,156,30,7,岐阜,21
6,-8.566666666666666,-0.06666666666666667,1.2,-23.566666666666666,-10.166666666666666,5.966666666666667,Gunma,2020,-10.591666666666667,-5.866666666666666,2020-06-30,153,30,19,群馬,10
