month,retail_and_recreation,grocery_and_pharmacy,parks,transit_stations,workplaces,residential,prefec,year,google_mobility_index_4vari_average,mobility_index_6vari_average,Date,confirmed_cases_cumulative,day,deaths_cumulative,prefec_kanji,id
5,-24.70967741935484,-2,1.1290322580645162,-48.064516129032256,-26.387096774193548,14.064516129032258,Aichi,2020,-25.290322580645164,-14.327956989247314,2020-05-31,507,31,34,愛知,23
5,-9.35483870967742,1.5806451612903225,47.83870967741935,-28.967741935483872,-14.741935483870968,6.838709677419355,Akita,2020,-12.870967741935484,0.5322580645161286,2020-05-31,16,31,0,秋田,5
5,-11.903225806451612,0.8709677419354839,18.29032258064516,-29.806451612903224,-14.67741935483871,6.709677419354839,Aomori,2020,-13.879032258064516,-5.086021505376344,2020-05-31,27,31,1,青森,2
5,-31.70967741935484,-2.5806451612903225,5.967741935483871,-49.70967741935484,-31.548387096774192,16.741935483870968,Chiba,2020,-28.887096774193548,-15.473118279569894,2020-05-31,909,31,45,千葉,12
5,-20.64516129032258,-1.4516129032258065,2.096774193548387,-38.16129032258065,-16.35483870967742,9.419354838709678,Ehime,2020,-19.153225806451616,-10.8494623655914,2020-05-31,82,31,4,愛媛,38
5,-20.903225806451612,0.8064516129032258,8.483870967741936,-34.32258064516129,-20.35483870967742,11.129032258064516,Fukui,2020,-18.693548387096776,-9.193548387096776,2020-05-31,122,31,8,福井,18
5,-27.677419354838708,-3.4838709677419355,1.096774193548387,-49.354838709677416,-25.06451612903226,13.064516129032258,Fukuoka,2020,-26.39516129032258,-15.236559139784946,2020-05-31,746,31,26,福岡,40
5,-17.580645161290324,-1.2903225806451613,8.612903225806452,-40.41935483870968,-19.29032258064516,10.741935483870968,Fukushima,2020,-19.645161290322584,-9.870967741935486,2020-05-31,81,31,0,福島,7
5,-24.129032258064516,-1.4193548387096775,-18.161290322580644,-43.67741935483871,-23.322580645161292,12.67741935483871,Gifu,2020,-23.137096774193548,-16.338709677419356,2020-05-31,150,31,7,岐阜,21
5,-21.096774193548388,-2.870967741935484,2.4193548387096775,-46.064516129032256,-22.096774193548388,12.419354838709678,Gunma,2020,-23.032258064516128,-12.881720430107526,2020-05-31,149,31,19,群馬,10
5,-25.774193548387096,-2.161290322580645,-2.903225806451613,-44.61290322580645,-22.870967741935484,12.129032258064516,Hiroshima,2020,-23.85483870967742,-14.365591397849464,2020-05-31,167,31,3,広島,34
5,-26.580645161290324,-0.8709677419354839,8.483870967741936,-43.903225806451616,-22.806451612903224,10.064516129032258,Hokkaido,2020,-23.54032258064516,-12.602150537634408,2020-05-31,1085,31,86,北海道,1
5,-29.29032258064516,0.9354838709677419,-0.3225806451612903,-44.774193548387096,-26.516129032258064,13.35483870967742,Hyogo,2020,-24.911290322580644,-14.435483870967742,2020-05-31,699,31,42,兵庫,28
5,-18.741935483870968,-2.4838709677419355,-4.935483870967742,-48.225806451612904,-22.387096774193548,12.903225806451612,Ibaraki,2020,-22.95967741935484,-13.978494623655914,2020-05-31,168,31,10,茨城,8
5,-25.032258064516128,-0.8387096774193549,3.838709677419355,-51.096774193548384,-25,12.96774193548387,Ishikawa,2020,-25.491935483870968,-14.193548387096774,2020-05-31,298,31,25,石川,17
5,-12.612903225806452,1.7096774193548387,13.935483870967742,-33.03225806451613,-14.870967741935484,7.709677419354839,Iwate,2020,-14.701612903225808,-6.193548387096775,2020-05-31,0,31,0,岩手,3
5,-22.096774193548388,-1.6774193548387097,-11.903225806451612,-45.83870967741935,-18.451612903225808,10.806451612903226,Kagawa,2020,-22.016129032258064,-14.86021505376344,2020-05-31,28,31,0,香川,37
5,-17.29032258064516,0.06451612903225806,-13.548387096774194,-40.54838709677419,-13.774193548387096,7.935483870967742,Kagoshima,2020,-17.887096774193544,-12.860215053763438,2020-05-31,10,31,0,鹿児島,46
5,-36.67741935483871,-1.4516129032258065,3.6451612903225805,-48.645161290322584,-36.74193548387097,18.774193548387096,Kanagawa,2020,-30.87903225806452,-16.849462365591403,2020-05-31,1359,31,82,神奈川,14
5,-21.806451612903224,-5.935483870967742,-8.419354838709678,-34.645161290322584,-16.516129032258064,9.225806451612904,Kochi,2020,-19.725806451612904,-13.016129032258064,2020-05-31,74,31,3,高知,39
5,-20.225806451612904,-2.032258064516129,-7.612903225806452,-36.645161290322584,-18.967741935483872,10.387096774193548,Kumamoto,2020,-19.467741935483872,-12.516129032258064,2020-05-31,48,31,3,熊本,43
5,-32.58064516129032,-2.3548387096774195,-10.580645161290322,-51.25806451612903,-28.29032258064516,13.225806451612904,Kyoto,2020,-28.62096774193548,-18.639784946236556,2020-05-31,358,31,17,京都,26
5,-20.032258064516128,-3.193548387096774,-18.967741935483872,-47.354838709677416,-20.93548387096774,11.64516129032258,Mie,2020,-22.879032258064516,-16.473118279569892,2020-05-31,45,31,1,三重,24
5,-23.096774193548388,-1.7096774193548387,4.903225806451613,-46.54838709677419,-22.225806451612904,11.903225806451612,Miyagi,2020,-23.395161290322584,-12.795698924731184,2020-05-31,88,31,1,宮城,4
5,-18.419354838709676,-0.06451612903225806,-17.580645161290324,-34.225806451612904,-14.838709677419354,8.548387096774194,Miyazaki,2020,-16.887096774193548,-12.763440860215054,2020-05-31,17,31,0,宮崎,45
5,-23.06451612903226,-1.967741935483871,-7.096774193548387,-49.61290322580645,-18.93548387096774,10.838709677419354,Nagano,2020,-23.39516129032258,-14.97311827956989,2020-05-31,76,31,0,長野,20
5,-19.387096774193548,-1.3225806451612903,-14.193548387096774,-36.96774193548387,-15.838709677419354,8.774193548387096,Nagasaki,2020,-18.379032258064516,-13.155913978494624,2020-05-31,17,31,1,長崎,42
5,-21.225806451612904,1.4516129032258065,-10.161290322580646,-42.516129032258064,-24.580645161290324,11.870967741935484,Nara,2020,-21.717741935483872,-14.193548387096774,2020-05-31,92,31,2,奈良,29
5,-14.35483870967742,1.2903225806451613,17.35483870967742,-43,-18.451612903225808,9.290322580645162,Niigata,2020,-18.629032258064516,-7.978494623655913,2020-05-31,83,31,0,新潟,15
5,-18.548387096774192,-2.5161290322580645,-19.677419354838708,-35.38709677419355,-18.096774193548388,9.774193548387096,Oita,2020,-18.637096774193548,-14.075268817204298,2020-05-31,60,31,1,大分,44
